year,doi,acmid,name,affiliation,note
1992,10.1145/142750.143058,81100435358,Paulien F. Strijland,"Apple Computer Inc, Cupertino, CA, USA",
1992,10.1145/142750.143058,81100478606,Anna M. Wichansky,"Silicon Graphics Inc, Mountain View, CA, USA",
1992,10.1145/142750.143058,81332535753,James R. Williams,"Bell Communications Research, Piscataway, NJ, USA",
1992,10.1145/142750.143063,81100370703,Martin R. Frank,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.143063,81100136673,J. J. de Graaff,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.143063,81100491866,Daniel F. Gieskens,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.143063,81100302796,James D. Foley,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.143065,81100084142,Eric A. Bier,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143065,81100277535,Steve Freeman,"Darwin College, Cambridge, England, UK",
1992,10.1145/142750.143065,81342507475,Ken Pier,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143067,81332524082,Amanda Ropa,"Amanda Ropa Design, Palo Alto, CA, USA",
1992,10.1145/142750.143067,81100415855,Bengt Ahlström,"Royal Institute of Technology, Stockholm, Sweden",
1992,10.1145/142750.143070,81100309669,Abigail Sellen,"University of Toronto, Canada",
1992,10.1145/142750.143070,81452616426,Bill Buxton,"University of Toronto, Canada",
1992,10.1145/142750.143070,81100117616,John Arnott,"Arnott Design Group, Toronto, Canada",
1992,10.1145/142750.143072,81100497451,Dean Rubine,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.143074,81100342764,Michael Gleicher,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.143075,81332491195,Marc H. Brown,"DEC Systems Research Center, 130 Lytton Ave., Palo Alto, CA, USA",
1992,10.1145/142750.143078,81100454370,William C. Hill,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.143078,81332504463,James D. Hollan,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.143079,81100041782,Catherine Plaisant,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.143079,81538309056,Daniel Wallace,"Vitro Corporation, Silver Spring, MD, USA",
1992,10.1145/142750.143082,81100146468,Ben Shneiderman,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.143082,81332535487,Christopher Williamson,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.143082,81100128783,Christopher Ahlberg,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.150709,81392594030,Joseph P. Rotella,"AT&T Bell Laboratories, USA",
1992,10.1145/142750.150709,81392611646,Amy L. Bowman,"AT&T Bell Laboratories, USA",
1992,10.1145/142750.150709,81392591917,Catherine A. Wittman,"AT&T Bell Laboratories, USA",
1992,10.1145/142750.150710,81100587029,Sherman Tyler,"Lockheed AI Center, Palo Alto, CA, USA",
1992,10.1145/142750.150710,81100510774,Jon Schlossberg,"Lockheed AI Center, Palo Alto, CA, USA",
1992,10.1145/142750.150711,81100405328,Kyoichi Arai,"KEIO University, Yokohama, Japan",
1992,10.1145/142750.150711,81100100957,Teruo Yokoyama,"KEIO University, Yokohama, Japan",
1992,10.1145/142750.150711,81100190708,Yutaka Matsushita,"KEIO University, Yokohama, Japan",
1992,10.1145/142750.150714,81100401727,Kristinn R. Thorisson,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1992,10.1145/142750.150714,81100026665,David B. Koons,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1992,10.1145/142750.150714,81100653961,Richard A. Bolt,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1992,10.1145/142750.150715,81100286070,Lynn Wilcox,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.150715,81332528415,Ian Smith,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.150715,81332491720,Marcia Bush,"Xerox PARC, Palo Alto, CA, USA",
1993,10.1145/169059.169320,81100244503,Jörg M. Haake,"Integrated Publication and Information Systems Institute (IPSI), Gesellschaft für Mathematik und Datenverarbeitung (GMD), Dolivostr. 15, D-6100 Darmstadt, F. R. Germany",
1994,10.1145/191666.191728,81350567367,Judith S. Olson,"Cognitive Science and Machine Intelligence Laboratory, The University of Michigan, 701 Tappan Street, Ann Arbor, MI, USA",
1994,10.1145/191666.191780,81100564360,Peter Polson,"University of Colorado, Institute of Cognitive Science, Boulder, CO, USA",
1994,10.1145/191666.191780,81332506347,J. E. Irving,"University of Colorado, Institute of Cognitive Science, Boulder, CO, USA",
1995,10.1145/223904.223939,81100194417,Paul Kabbash,"University of Toronto, Toronto, Canada",
1995,10.1145/223904.223939,81452616426,William A. S. Buxton,"Alias Research Inc, Toronto, Canada & University of Toronto, Toronto, Canada",
1995,10.1145/223904.223951,81100178543,Gary M. Olson,"Collaboratory for Research on Electronic Work (CREW), The University of Michigan, 701 Tappan Street, Ann Arbor, MI, USA",
1995,10.1145/223904.223952,99660383398,Matt Marx,"Sun Microsystems Laboratories, Two Elizabeth Drive, Chelmsford, MA, USA",
1996,10.1145/238386.238438,81100656112,Sharon Oviatt,"Oregon Graduate Institute of Science & Technology, Portland, OR, USA",
1996,10.1145/238386.238522,81100170236,David Wolber,"University of San Francisco, San Francisco, CA, USA",
1996,10.1145/238386.238582,81100400876,Tomonari Kamba,"Georgia Tech, Atlanta, GA, USA",
1996,10.1145/238386.238582,81332497302,Shawn A. Elson,"Georgia Tech, Atlanta, GA, USA",
1996,10.1145/238386.238582,81100033742,Terry Harpold,"Georgia Tech, Atlanta, GA, USA",
1996,10.1145/238386.238582,81100129585,Tim Stamper,"Georgia Tech, Atlanta, GA, USA",
1996,10.1145/238386.238582,81558586656,Piyawadee Sukaviriya,"Georgia Tech, Atlanta, GA, USA",
1997,10.1145/258549.258699,81100449016,Hilary Johnson,"HCI Group, Department of Computer Science, Queen Mary and Westfield College, Mile End Road, London E1 4NS, UK",
1997,10.1145/258549.258832,81100568530,Frank Ludolph,"JavaSoft, Sun Microsystems, Inc., 2550 Garcia Avenue, CUP01-102, Mountain View, CA, USA",
1998,10.1145/274644.274681,81100242280,Kevin Schlueter,"Department of Computer Science, University of Toronto, 10 Kings College Road, Toronto, ON, Canada, M5S 4G4",
1999,10.1145/302979.303067,81100178543,Gary M. Olson,"The Collaboratory for Research on Electronic work (CREW), University of Michigan, Ann Arbor, MI, USA",
1999,10.1145/302979.303109,81332505923,Satoshi Ichimura,"FX Palo Alto Laboratory, 3400 Hillview Avenue, Palo Alto, CA, USA",
1999,10.1145/302979.303160,81100229982,Christine Halverson,"IBM T.J. Watson Research Center, 30 Saw Mill River Road, Hawthorne, NY, USA",
1999,10.1145/302979.303160,81100200032,Daniel Horn,"University of Michigan, Ann Arbor, MI, USA",
1999,10.1145/302979.303160,81100505984,John Karat,"IBM T.J. Watson Research Center, 30 Saw Mill River Road, Hawthorne, NY, USA",
2000,10.1145/332040.332415,81100039448,Hiroaki Tobita,"Graduate School of Information Systems, University of Electro-Communications, 1-5-1, Chofugaoka, Chofu, Tokyo 182-8585, Japan",
2000,10.1145/332040.332415,81100604112,Motoki Kobayashi,"Graduate School of Information Systems, University of Electro-Communications, 1-5-1, Chofugaoka, Chofu, Tokyo 182-8585, Japan",
2001,10.1145/365024.365090,81100009981,Li Gong,"Stanford University, Stanford, CA, USA",
2001,10.1145/365024.365090,81452599499,Jennifer Lai,"IBM Research, Hawthorne, NY, USA",
2002,10.1145/503376.503434,81100077378,Marc A. Smith,"Microsoft Research, Redmond, WA, USA",
2006,10.1145/1124772.1124874,81100363076,Hiroshi Ishii,"MIT Media Lab, Cambridge, MA, USA",
2018,10.1145/3173574.3173818,81333491448,Daniel Ullrich,"LMU Munich, Munich, Bavaria, Germany",
2023,10.1145/3544548.3580664,99658745782,Erica Kleinman,"University of California, Santa Cruz, United States, USA",
2023,10.1145/3544548.3580664,99659461569,Jennifer Villareale,"Drexel University, Philadelphia, PA, USA",
2023,10.1145/3544548.3580664,99659921626,Murtuza N. Shergadwala,"University of California, Santa Cruz, United States, USA",
2023,10.1145/3544548.3580664,99659475051,Zhaoqing Teng,"University of California, Santa Cruz, United States, USA",
